PWO_J33_before	
Wavelength (nm)	%T
900	72.98402405
899.5	73.03709412
899	71.10710144
898.5	72.86952972
898	71.24510193
897.5	72.16938782
897	71.49098206
896.5	72.42462921
896	72.70246124
895.5	73.20298767
895	72.4278183
894.5	71.81495667
894	72.84986115
893.5	71.59991455
893	73.10842896
892.5	73.28141022
892	72.92111206
891.5	72.88909912
891	73.32086945
890.5	73.05571747
890	72.58171082
889.5	71.5075531
889	72.13896942
888.5	72.07044983
888	71.40670013
887.5	72.66136169
887	71.96931458
886.5	72.40036011
886	73.15947723
885.5	73.6032486
885	72.34941864
884.5	72.28688812
884	72.8403244
883.5	73.11564636
883	73.32411957
882.5	72.85305786
882	73.82195282
881.5	74.01789093
881	72.92669678
880.5	72.72304535
880	73.14454651
879.5	73.51367188
879	73.29608154
878.5	73.17036438
878	73.31259155
877.5	72.8752594
877	72.65213013
876.5	72.79959106
876	73.38939667
875.5	73.5996933
875	72.94760132
874.5	73.74295807
874	73.30667877
873.5	73.6411438
873	73.43332672
872.5	73.11130524
872	73.23822021
871.5	73.18144226
871	73.08031464
870.5	73.9740448
870	73.38059235
869.5	73.87715912
869	73.01355743
868.5	73.10997772
868	73.47943878
867.5	72.83951569
867	73.75975037
866.5	73.53409576
866	73.45108032
865.5	73.41786957
865	73.29566193
864.5	73.1133728
864	73.63222504
863.5	73.37944794
863	73.06228638
862.5	72.85328674
862	73.11173248
861.5	73.38860321
861	73.3263855
860.5	73.22106171
860	73.13327026
859.5	73.28612518
859	73.61664581
858.5	73.03798676
858	73.62602234
857.5	73.184021
857	73.35340881
856.5	73.08964539
856	73.00411224
855.5	73.12641144
855	72.9646225
854.5	73.32154846
854	73.04988098
853.5	72.98214722
853	73.09268951
852.5	73.34860992
852	72.94969177
851.5	73.05606079
851	73.14320374
850.5	72.947052
850	73.0316925
849.5	72.92298889
849	72.82126617
848.5	72.99105072
848	72.76582336
847.5	72.88222504
847	72.77952576
846.5	72.78175354
846	72.71953583
845.5	72.83781433
845	72.88064575
844.5	72.5920639
844	72.64523315
843.5	72.59365082
843	72.66099548
842.5	72.58333588
842	72.47956085
841.5	72.5754776
841	72.37012482
840.5	72.46008301
840	72.48612976
839.5	72.51805878
839	72.38690948
838.5	72.43045807
838	72.40441132
837.5	72.39668274
837	72.26703644
836.5	72.3793869
836	72.2864151
835.5	72.18533325
835	72.27378845
834.5	72.30310059
834	72.20607758
833.5	72.16446686
833	72.31697845
832.5	72.25590515
832	72.02648163
831.5	72.07501984
831	72.15736389
830.5	72.11972809
830	72.1194458
829.5	72.12465668
829	72.15351105
828.5	71.94113922
828	72.06166077
827.5	72.08807373
827	72.02754974
826.5	71.83136749
826	72.03176117
825.5	71.96499634
825	71.96730804
824.5	71.94359589
824	72.04199982
823.5	71.97026062
823	71.9124527
822.5	71.9415741
822	71.91120911
821.5	71.91912842
821	71.9123764
820.5	71.81700897
820	71.95005798
819.5	71.87387848
819	71.77450562
818.5	71.92520905
818	71.86319733
817.5	71.86039734
817	71.79767609
816.5	71.88588715
816	71.78234863
815.5	71.81330109
815	71.81251526
814.5	71.76220703
814	71.74806976
813.5	71.75473022
